CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Abanico,Abanico,Valle Superior del Magdalena,PACIFIC STRATUS ENERGY,Tolima,1221,1259,1249,1221,1195,1113,1014,995,1015,1142,1148,1160
Abarco,Nare,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD.,Boyacá,5027,5051,5700,5654,5240,5066,5581,5648,5562,5960,6534,6279
Abedus,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,0,0,0,34,4,0,5,19,0,0,0,0
Abejas,Estero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,234,308,263,266,271,277,279,272,291,137,0,79
Acacia Este,Las Quinchas,Valle Medio del Magdalena,PACIFIC STRATUS ENERGY,Santander,0,0,4,4,5,5,4,5,4,3,4,5
Acaé Sur,Orito,Putumayo,ECOPETROL S.A.,Putumayo,1557,1960,1626,1962,1910,1596,1545,1293,1217,1523,844,1392
Acordionero,Midas,Llanos Orientales,UNION TEMPORAL MIDAS,Meta,0,0,0,0,0,0,309,74,1392,2433,2181,1983
Adalia,Llanos-30,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,0,0,0,170,0,464,296,582,1216,1097,920,793
Agapanto,Maranta,Putumayo,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Putumayo,114,19,0,207,708,592,237,18,0,0,0,0
Aguas Blancas,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,22,23,20,21,16,22,22,22,22,21,22,23
Akacias,CPO-9,Llanos Orientales,ECOPETROL S.A.,Meta,2086,2004,2108,2000,1609,1571,1972,2597,2449,1499,4198,5350
Akira,Cabrestero,Llanos Orientales,CEPCOLSA,Casanare,156,227,202,202,311,209,364,251,209,26,314,501
Alborada,Orito,Putumayo,ECOPETROL S.A.,Putumayo,0,10,6,0,0,8,0,0,0,0,0,0
Alepe,Nashira,Llanos Orientales,SOGOMY ENERGY,Casanare,202,202,164,152,149,133,132,172,187,178,178,95
Altair,Altair,Llanos Orientales,INTEROIL COLOMBIA E&P,Casanare,200,196,195,185,179,172,165,161,154,145,144,140
Alva Sur,Nashira,Llanos Orientales,SOGOMY ENERGY,Casanare,71,74,49,0,0,0,0,0,0,0,0,0
Ambar,Quifa,Llanos Orientales,META PETROLEUM CORP.,Meta,2581,2621,3207,4164,3413,2773,2796,2736,2868,3256,3431,3106
Ambrosia,Ambrosia,Valle Superior del Magdalena,INTEROIL COLOMBIA E&P,Tolima,40,35,41,39,39,39,37,36,36,36,31,33
Andalucía Sur,Huila,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,91,82,82,79,81,70,73,71,1968,73,69,61
Andaluz,Jagueyes 3432-B,Llanos Orientales,TABASCO OIL COMPANY,Casanare,0,0,41,11,51,60,119,18,0,0,1,33
Apamate,La Creciente,Valle Inferior del Magdalena,PACIFIC STRATUS ENERGY,Sucre,0,0,0,0,0,0.03,1,1,1,0,0,0
Apiay,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,6999,7442,7167,6515,6661,6591,6558,6686,6052,5998,6034,5890
Apiay Este,Apiay,Llanos Orientales,ECOPETROL S.A.,Meta,482,486,364,338,213,258,169,177,283,266,260,477
Araguato,Chipiron,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,257,166,205,249,258,106,232,280,238,129,263,215
Arauca,Arauca,Llanos Orientales,ECOPETROL S.A.,Arauca,253,251,250,243,227,130,83,80,78,74,76,132
Arauco,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,361,350,340,364,362,344,254,163,238,266,316,324
Área Teca - Cocorna,Cocorna,Valle Medio del Magdalena,ECOPETROL S.A.,Antioquia,1486,1436,1439,1389,1474,1453,1481,1461,1532,1503,1513,1499
Arrayan,Pijao Potrerillo,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,1112,2013,1984,1978,1946,1973,1973,1962,1954,1957,2081,2077
