DEPARTAMENTO,CUENCA,EMPRESA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,KAPPA RESOURCES COLOMBIA LTD.,ABANICO,ABANICO,1094,1115,1089,1114,1073,1030,1015,1004,1014,958
BOYACA,VALLE MEDIO DEL MAGDALENA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,ABARCO,6638,5847,5846,5952,5619,5356,6124,5764,5712,6558
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,ESTERO,ABEJAS,110,246,240,231,224,217,88,198,233,245
SANTANDER,VALLE MEDIO DEL MAGDALENA,KAPPA RESOURCES COLOMBIA LTD.,LAS QUINCHAS,ACACIA ESTE,4,5,5,5,6,7,6,7,7,6
PUTUMAYO,PUTUMAYO,ECOPETROL D. SUR,ORITO,ACAE-SAN MIGUEL (PTO COLON),2014,2351,2550,3082,3102,2509,2115,2558,2420,2512
CESAR,CESAR - RANCHERÍA,PETROLEOS DEL NORTE S.A,E&P MIDAS,ACORDIONERO,1485,355,1512,2401,2503,2477,2290,1871,2321,2666
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,E&P LLANOS 30,ADALIA,687,842,393,0,0,480,1237,1326,1313,1345
PUTUMAYO,PUTUMAYO,EMERALD ENERGY  DE COLOMBIA PLC,MARANTA,AGAPANTO,0,74,154,239,185,326,270,248,233,222
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,AGUAS BLANCAS,22,21,21,21,16,22,22,22,22,24
META,LLANOS ORIENTALES,ECOPETROL,CP0-9,AKACIAS,7095,3356,9382,7955,8313,6738,7705,9016,7661,9229
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,CABRESTERO PAREX,AKIRA,506,484,887,2066,2063,943,759,480,914,2099
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,MERECURE,ALAZÁN NORTE,0,0,0,0,9,0,0,0,0,0
CASANARE,LLANOS ORIENTALES,SOGOMI ENERGY S.A.,NASHIRA,ALEPE,56,69,88,79,74,125,110,111,95,35
META,LLANOS ORIENTALES,ECOPETROL LLANOS,ALMAGRO_ECOPETROL,ALMAGRO,98,260,429,417,421,418,403,405,371,0
CASANARE,LLANOS ORIENTALES,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ALTAIR,ALTAIR,136,133,130,128,120,118,112,110,113,108
META,LLANOS ORIENTALES,META PETROLEUM,QUIFA,AMBAR,3054,3104,3311,3550,3345,3416,2693,2328,2849,2911
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AMBROSIA,AMBROSIA,32,31,50,46,40,40,40,39,39,38
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,ANDALUCIA SUR,52,54,55,61,57,59,58,56,48,33
CASANARE,LLANOS ORIENTALES,TABASCO OIL COMPANY,JAGUEYES,ANDALUZ,26,32,284,156,159,154,132,114,114,126
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CACHICAMO-026-22008,ANDARRIOS,388,385,394,362,297,262,222,234,213,228
SUCRE,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,LA CRECIENTE,APAMATE,0,0,0,0,0,0,0,0,0,0
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,APIAY,6018,5633,5268,5403,5335,5220,5110,4918,5137,4899
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,APIAY ESTE,395,435,464,422,408,451,460,453,386,357
ARAUCA,LLANOS ORIENTALES,OCCIDENTAL DE COLOMBIA INC.,CHIPIRON,ARAGUATO,260,267,153,0,49,224,143,249,258,265
ARAUCA,LLANOS ORIENTALES,ECOPETROL,ARAUCA,ARAUCA,210,204,62,192,227,194,104,195,202,213
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,ARAUCO,300,263,225,217,220,148,151,160,124,141
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,GUATIQUIA,ARDILLA,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,VALLE MEDIO DEL MAGDALENA,ECOPETROL,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,834,847,918,974,1011,983,965,944,916,958
ANTIOQUIA,VALLE MEDIO DEL MAGDALENA,ECOPETROL,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,607,589,480,421,441,427,421,426,434,418
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,ARRAYAN,2068,2024,2035,2022,2007,2000,1946,1783,1565,1480
CASANARE,LLANOS ORIENTALES,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),E&P LLANOS 34,ARUCO,0,0,329,679,539,400,420,388,363,347
META,LLANOS ORIENTALES,Tecpetrol Colombia S.A.S.,CPO-07,ATARRAYA,1627,1861,1832,1548,1400,1222,1095,999,989,1113
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,PLAYON,AULLADOR,3,0,104,39,0,0,0,0,123,324
CESAR,CESAR - RANCHERÍA,EMERALD ENERGY  DE COLOMBIA PLC,FORTUNA,AURELIANO,3,0,3,0,0,0,0,0,0,0
META,LLANOS ORIENTALES,ECOPETROL,APIAY Incremental,AUSTRAL,0,0,0,0,45,277,243,417,541,479
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,GUATIQUIA,AVISPA,0,0,0,29,317,674,926,850,805,752
CASANARE,LLANOS ORIENTALES,PACIFIC STRATUS ENERGY,E&E ARRENDAJO,AZOR,1316,1281,1274,1241,1249,1208,1084,1180,1118,1070
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,E&P EL BALAY,BALAY,0,0,0,0,0,425,389,353,338,160
CASANARE,LLANOS ORIENTALES,PETROBRAS COLOMBIA LIMITED,E&P EL BALAY,BALAY,230,293,328,325,454,0,0,0,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,PALERMO ECOPETROL,BALCON,1616,1646,1620,1627,1614,1587,1536,1560,1568,1341
CASANARE,LLANOS ORIENTALES,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,BANDOLA,872,764,603,550,464,401,353,322,257,266
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,BARQUEREÑA,380,354,182,285,326,333,308,303,290,307
CESAR,CESAR - RANCHERÍA,ECOPETROL,BARRANCAS LEBRIJA,BARRANCA-LEBRIJA,0,0,0,0,0,0,11,10,11,0
CESAR,CESAR - RANCHERÍA,UT MOCAM,BARRANCAS LEBRIJA,BARRANCA-LEBRIJA,5,11,11,11,11,10,0,0,0,0
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,BARRANCAS LEBRIJA,BARRANCA-LEBRIJA,0,0,0,0,0,0,0,0,0,10
SANTANDER,VALLE MEDIO DEL MAGDALENA,UT MOCAM,BARRANCAS LEBRIJA,BARRANCA-LEBRIJA,5,0,0,0,0,0,0,0,0,0
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CRAVOVIEJO,BASTIDAS,882,1622,1146,1241,1151,1132,1093,1080,1107,954
SANTANDER,VALLE MEDIO DEL MAGDALENA,KAPPA RESOURCES COLOMBIA LTD.,LAS QUINCHAS,BAUL,29,22,29,27,26,25,25,24,23,23
