Departamento,Municipio,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
META,VILLAVICENCIO,ECOPETROL,APIAY,APIAY,0,0,0,0,1492,0,0,0,0,0,0,0
TOLIMA,ESPINAL,KAPPA RESOURCES COLOMBIA LTD.,ABANICO,ABANICO,869,808,839,830,726,733,745,747,750,782,744,799
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,ABARCO,6770,6566,6152,5868,6688,6126,7255,6626,6747,6030,6629,5757
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,ESTERO,ABEJAS,260,258,231,204,212,215,26,218,199,214,215,201
SANTANDER,CIMITARRA,KAPPA RESOURCES COLOMBIA LTD.,LAS QUINCHAS,ACACIA ESTE,5,5,5,5,5,5,5,5,5,5,5,5
PUTUMAYO,SAN MIGUEL,ECOPETROL D. SUR,ORITO,ACAE-SAN MIGUEL (PTO COLON),2805,2709,2543,2553,2406,2285,2151,2148,2067,2189,2045,2196
CESAR,SAN MARTÍN,PETROLEOS DEL NORTE S.A,E&P MIDAS,ACORDIONERO,5052,4903,4767,4812,5021,5489,5450,5315,5222,5166,5093,5028
CASANARE,SAN LUIS DE PALENQUE,PAREX RESOURCES COLOMBIA LTD,E&P LLANOS 30,ADALIA,780,1141,1229,878,555,591,637,638,592,641,600,208
PUTUMAYO,VILLAGARZON,EMERALD ENERGY  DE COLOMBIA PLC,MARANTA,AGAPANTO,196,189,184,8,0,0,0,0,0,0,0,0
SANTANDER,SIMACOTA,ECOPETROL,DE MARES,AGUAS BLANCAS,19,19,20,17,0,11,19,20,20,20,19,19
META,ACACIAS,ECOPETROL,CP0-9,AKACIAS,8550,6735,6521,7688,8140,7633,7827,6215,5710,3067,2138,4713
META,GUAMAL,ECOPETROL,CP0-9,AKACIAS,181,0,95,416,0,595,760,262,0,0,0,0
CASANARE,VILLA NUEVA,PAREX RESOURCES COLOMBIA LTD,CABRESTERO PAREX,AKIRA,2928,3047,2615,2414,2035,1917,1729,1718,1780,2671,2129,1642
CASANARE,OROCUE,SOGOMI ENERGY S.A.,NASHIRA,ALEPE,47,0,0,10,26,55,59,38,37,50,49,49
META,PUERTO LOPEZ,ECOPETROL LLANOS,ALMAGRO_ECOPETROL,ALMAGRO,393,390,375,367,364,353,348,336,342,358,355,355
CASANARE,OROCUE,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ALTAIR,ALTAIR,99,95,88,87,90,91,87,85,85,78,72,74
CASANARE,OROCUE,SOGOMI ENERGY S.A.,NASHIRA,ALVA SUR,0,0,0,0,0,17,83,61,62,82,49,0
META,PUERTO GAITAN,META PETROLEUM,QUIFA,AMBAR,3178,2668,2391,2317,2161,2004,2033,1991,2075,2093,2215,2210
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AMBROSIA,AMBROSIA,37,36,35,35,36,34,33,34,34,33,32,33
HUILA,BARAYA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,ANDALUCIA SUR,52,56,48,33,36,37,37,37,74,74,76,76
CASANARE,PAZ DE ARIPORO,TABASCO OIL COMPANY,JAGUEYES,ANDALUZ,220,0,0,0,0,0,0,0,0,0,0,0
CASANARE,OROCUE,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CACHICAMO-026-22008,ANDARRIOS,1022,671,584,603,534,351,344,314,280,199,72,248
SUCRE,SAN PEDRO,PACIFIC STRATUS ENERGY,LA CRECIENTE,APAMATE,0,0,1,0,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,ECOPETROL,APIAY Incremental,APIAY,4970,4925,4871,4870,2766,4488,5005,5511,5181,4946,4825,4481
META,VILLAVICENCIO,ECOPETROL,APIAY,APIAY ESTE,53,52,51,51,50,0,0,0,0,0,0,0
META,VILLAVICENCIO,ECOPETROL,APIAY Incremental,APIAY ESTE,532,675,665,590,440,434,477,539,481,549,588,591
ARAUCA,ARAUQUITA,"OCCIDENTAL DE COLOMBIA , LLC",CHIPIRON,ARAGUATO,300,188,188,192,199,143,0,55,195,187,117,210
ARAUCA,SARAVENA,ECOPETROL,ARAUCA,ARAUCA,204,203,204,169,211,213,64,158,212,222,177,191
CASANARE,SAN LUIS DE PALENQUE,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,ARAUCO,132,164,177,172,182,191,195,170,161,158,154,149
META,CABUYARO,PETROMINERALES COLOMBIA LTD,GUATIQUIA,ARDILLA,1520,1308,930,1077,793,655,665,673,577,627,538,429
ANTIOQUIA,PUERTO NARE,ECOPETROL,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,1003,902,860,882,902,842,842,781,793,808,775,727
ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,489,503,520,503,482,521,486,438,472,480,451,433
HUILA,AIPE,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,ARRAYAN,1079,1247,1234,1110,875,1067,1007,941,880,832,738,674
META,PUERTO GAITAN,Tecpetrol Colombia S.A.S.,CPO-07,ATARRAYA,893,843,838,811,786,736,752,740,730,708,721,713
SANTANDER,SABANA DE TORRES,ECOPETROL,PLAYON,AULLADOR,412,714,716,506,438,422,421,407,395,387,373,358
META,VILLAVICENCIO,ECOPETROL,APIAY Incremental,AUSTRAL,264,142,151,121,69,179,183,173,128,169,154,104
META,CABUYARO,PETROMINERALES COLOMBIA LTD,GUATIQUIA,AVISPA,744,3436,4888,6924,9700,9699,11306,11458,10155,10808,11733,12482
CASANARE,PAZ DE ARIPORO,PACIFIC STRATUS ENERGY,E&E ARRENDAJO,AZOR,952,889,844,770,722,626,876,851,818,795,775,758
HUILA,AIPE,ECOPETROL ALTO MAGDALENA,PALERMO ECOPETROL,BALCON,1508,1528,1482,1453,1445,1395,1287,1403,1273,1292,1326,1283
CASANARE,MANI,PAREX RESOURCES COLOMBIA LTD,E&P LLANOS 32,BANDOLA,88,0,0,0,0,0,0,0,0,0,0,0
CASANARE,MUNICIPIO NN CASANARE,PERENCO COLOMBIA LIMITED,CASANARE,BARQUEREÑA,332,333,309,230,324,336,0,0,0,0,0,0
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,CASANARE,BARQUEREÑA,0,0,0,0,0,0,334,328,328,323,330,327
CESAR,AGUACHICA,ECOPETROL,BARRANCAS LEBRIJA,BARRANCA-LEBRIJA,11,11,10,5,0,0,0,0,0,0,0,0
CASANARE,OROCUE,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CRAVOVIEJO,BASTIDAS,831,730,678,776,613,590,521,525,501,436,411,373
SANTANDER,BOLIVAR,KAPPA RESOURCES COLOMBIA LTD.,LAS QUINCHAS,BAUL,20,22,21,20,22,21,20,20,20,20,20,19
CASANARE,AGUAZUL,PAREX RESOURCES COLOMBIA LTD,E&P LLANOS 26,BAZAR,0,0,0,0,0,0,0,0,472,0,1473,2164
CASANARE,PAZ DE ARIPORO,PAREX RESOURCES COLOMBIA LTD,E&P LLANOS 40,BEGONIA,2415,2448,2438,3203,3847,3552,3443,3539,2978,2489,2211,2094
META,BARRANCA DE UPIA,PETROMINERALES COLOMBIA LTD,CORCEL,BOA,7,0,0,0,0,0,0,0,0,1,0,0
BOYACA,TOPAGA,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,BOLIVAR,25,0,0,0,0,0,0,17,45,59,61,63
SANTANDER,RIONEGRO,ECOPETROL,PROVINCIA,BONANZA,644,639,633,627,622,616,611,606,600,595,590,585
SANTANDER,RIONEGRO,ECOPETROL,PROVINCIA INCREMENTAL,BONANZA,442,421,413,473,1342,1716,1713,2103,2084,2015,1909,1857
BOLIVAR,MOMPOS,ECOPETROL,CICUCO,BOQUETE,0,0,0,0,0,55,51,0,0,0,0,0
BOLIVAR,TALAIGUA NUEVO,ECOPETROL,CICUCO,BOQUETE,49,55,67,64,54,0,0,47,72,61,66,66
CASANARE,YOPAL,COLOMBIA ENERGY DEVELOPMENT,CEE RIO VERDE,BORAL,72,0,0,0,0,0,0,0,0,0,0,0
HUILA,AIPE,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,BRISAS,152,151,150,149,147,129,145,137,124,141,141,140
HUILA,AIPE,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA Incremental,BRISAS,112,139,104,82,40,0,52,0,0,0,17,16
ATLANTICO,SABANALARGA,Lewis Energy Colombia,Contrato de Exploración y producción N° 54 de 2008 Sinú –San Jacinto Norte Bloqu,BULLERENGUE,0,9,0,0,0,0,0,0,0,5,47,54
META,PUERTO GAITAN,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),CABIONA,CABIONA,1003,996,999,1008,998,1012,1006,1011,1000,980,942,957
BOYACA,PUERTO BOYACA,ECOPETROL ALTO MAGDALENA,ECOP-OP-DIRECTA,CAIPAL,9,0,0,0,0,0,0,0,0,0,0,0
BOYACA,PUERTO BOYACA,ECOPETROL ALTO MAGDALENA,PALAGUA,CAIPAL,9,9,9,9,9,9,9,9,9,9,9,9
BOYACA,PUERTO BOYACA,ECOPETROL ALTO MAGDALENA,PALAGUA-INCREMENTAL,CAIPAL,619,620,607,576,651,677,682,675,743,731,763,744
CASANARE,TAURAMENA,VERANO ENERGY (BARBADOS) LIMITED,E&P LLANOS 32,CALONA,0,0,0,0,0,5,2,0,0,0,0,0
META,SAN MARTÍN,ECOPETROL LLANOS,CDND CAMOA _ECOPETROL,CAMOA,14,43,45,0,30,65,58,54,53,52,53,54
CASANARE,MANI,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,CAMPO RICO,663,654,619,613,605,568,574,569,556,552,548,542
CASANARE,OROCUE,COLOMBIA ENERGY DEVELOPMENT,ALCARAVAN,CANACABARE,34,0,0,0,0,0,0,0,0,0,0,0
CASANARE,MONTERREY,PETROMINERALES COLOMBIA LTD,Canaguaro E&P-016 del 2006,Canaguaro,1553,1601,1536,1382,1261,1158,1063,977,904,818,376,320
CASANARE,TAURAMENA,PETROMINERALES COLOMBIA LTD,Canaguaro E&P-016 del 2006,Canaguaro,816,691,604,548,175,496,523,435,391,363,402,413
ARAUCA,ARAUQUITA,"OCCIDENTAL DE COLOMBIA , LLC",COSECHA,CANAGUEY,1291,1193,1117,1709,1472,1027,0,510,1269,1750,1335,1636
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,CANDALAY,16,19,17,15,14,1,7,0,0,6,0,0
META,CABUYARO,PETROMINERALES COLOMBIA LTD,GUATIQUIA,CANDELILLA,2495,2592,2959,2793,2689,2698,2578,2522,2322,2272,2362,2125
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,COROCORA,CAÑO GANDUL,0,0,53,153,188,177,138,194,181,205,206,209
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA,344,299,296,238,137,213,168,157,145,155,148,178
