Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),ECOPETROL S.A.,TECA COCORNA,AREA TECA-COCORNA,1765.84,1689.32,1826.93,1537.57,1238.72,1049.21,975.58,949,943.07,1276.13,1327.46,1256.37
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE,NARE SUR,187.33,184.97,173.58,191.32,193.94,166.74,168.84,152.02,147.4,155.1,140.81,122.48
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE,UNDERRIVER,645.83,625.85,632.27,662.28,569.9,443.57,545.7,523.7,448.83,522.13,502.12,466.15
ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),ECOPETROL S.A.,TECA COCORNA,AREA TECA-COCORNA,119.7,118.32,81.96,0,0,0,14.05,104.08,94.44,76.66,76.14,74.72
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO-CASABE,CASABE,11636.58,11584.22,11488.16,10711.52,9483.4,9402.73,9599.38,9527.73,9991.97,10483.05,10633.2,10530.89
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO-CASABE,CASABE SUR,1852.6,1763.47,1831.5,1838.38,1539.16,1541.67,1573.16,1514.94,1638.69,1639.14,1663.82,1558.06
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,1191.87,1119.56,1092.48,1108.8,1039.93,1057.1,1055.03,952.72,967.7,939.22,879.44,993.63
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CRAVO NORTE,CAÑO LIMÓN,20370.23,20604.03,20788.68,20137.07,20283.84,20238.3,20358.06,20210.37,19326.15,19432.16,19731.48,20225.02
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CRAVO NORTE,CAÑO YARUMAL,3080.65,3717.21,3536.77,2438.2,2648.68,3094.5,2918.32,2936.71,2779.71,2708.99,2637.9,2612.22
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,5400.06,5165.76,4893,4472.57,5042.42,731.4,4991.26,674.95,4718.89,4391.52,4304.02,4175.77
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,GALEMBO,105.58,105.28,104.42,98.93,91.39,82.3,82.32,63.93,61.14,57.92,44.83,51.55
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,MACANA,171.42,163.72,139.19,141.27,141.84,143.03,141.81,143.06,131.4,130.91,155.43,92.61
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CRAVO NORTE,REDONDO,56,0,0,0,0,0,0,0,0,0,222.63,0
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,ARAGUATO,61.26,61.41,61.13,61.17,58.68,55.27,55.19,53.56,55.13,55.7,56.26,55.73
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,BAYONERO,357.77,317.48,263.97,232.73,223.74,215.3,216.97,214.33,201.81,177.24,619.31,381.46
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,COSECHA,CANAGUEY,1092.06,974.55,996.68,1101.47,1045.71,1013.13,983.84,979.56,880.99,879.94,895.68,810.05
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CRAVO NORTE,CAÑO LIMÓN,725.87,747.45,712.52,570.6,590.81,655,656.16,674.84,636,633.15,645.87,643.47
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,RONDÓN,CAÑO RONDÓN,2827.19,2567.17,2390.16,2264.57,2182.1,2390.43,2542.48,2229.84,2076.8,2077.1,1696.65,1824.31
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,RONDÓN,CARICARE,3295.23,2869.76,2805,2427.13,2714.84,2927.87,2904.32,3057.98,3482.71,3481.4,3111.58,3291.47
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,89.35,89.62,88.81,86.8,75.71,4164.87,71.42,4164.37,72.24,73,73.95,72.01
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,COSECHA,FINN,3229.42,2760.79,2768.19,2504.5,2287.26,2073.5,1373.71,564.07,1513.39,1596.69,1538.52,1519.94
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,COSECHA,GOLONDRINA,39.68,37.93,40.94,0.7,3.65,29.1,39.68,38.12,3.17,0,40.22,33.22
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,JIBA,45.87,2,5.61,15.1,16.81,42.33,42.45,42.08,41.39,29.16,28.07,27.97
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,JIBA UNIFICADO,292.74,369.59,360.81,303.33,317.87,356.43,341.19,329.26,313.77,311.87,319.05,317.49
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CRAVO NORTE,REDONDO,744.68,961.9,947.71,836.2,1152.81,1099.9,1005.94,921.58,866.89,854.23,608.86,926.06
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CRAVO NORTE,REDONDO ESTE,56.03,55.76,55.48,52,45.9,46.53,45.84,45.74,43.77,43.92,44.89,44.57
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,COSECHA,REX,220.9,182.38,188.19,207.53,199.58,171.23,173.97,168.91,157.31,173.2,142.32,145.78
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,COSECHA,REX NE,7188.16,6722.41,7531.19,8364.77,11614,12929.9,13255.06,13027.85,12958.02,12893.07,12831.32,12489.48
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,COSECHA,TERECAY,1275.97,1199.14,1213.74,1205.6,1262.29,1252.43,1433.29,2161.81,1641.71,1368.69,1364.97,1420.58
ARAUCA,TAME,6.390650479,-71.79178647,POINT (-71.79178647 6.390650479),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,ANDINA,2162.59,5304.44,6825.68,6705,3300.45,2993.63,3045.73,3082.47,3874.95,4621.51,4985.61,5727.03
ARAUCA,TAME,6.390650479,-71.79178647,POINT (-71.79178647 6.390650479),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,CAPACHOS,984.23,1622.83,1721.52,1601.25,1627.91,1939.14,1912.85,1862.46,1752.69,1681.41,1530.65,1135.9
ATLANTICO,PONEDERA,10.59465102,-74.79847316,POINT (-74.79847316 10.59465102),LEWIS ENERGY COLOMBIA INC,SSJN-1,MERECUMBE,0,0,0.26,0,0,0,0,0,0,0,0,0.77
ATLANTICO,SABANALARGA,10.79894015,-74.7687966,POINT (-74.7687966 10.79894015),LEWIS ENERGY COLOMBIA INC,SSJN-1,BULLERENGUE,595.82,574.81,558.94,549.29,540.22,531.72,514.7,513.44,521.27,535.37,511,535.69
BOLIVAR,CANTAGALLO,7.239229146,-74.10014043,POINT (-74.10014043 7.239229146),ECOPETROL S.A.,MAGDALENA MEDIO-YARIGUI-CANTAGALLO,YARIGUÍ-CANTAGALLO,15744.91,15911.12,17082.52,17009.06,16533.52,15457.61,14811.46,12992.27,15520.35,15660.02,16495.83,13690.97
BOLIVAR,CICUCO,9.235268598,-74.68840962,POINT (-74.68840962 9.235268598),HOCOL S.A.,CICUCO BOQUETE,CICUCO,345.13,337.53,369.19,327.74,340.28,333.36,304.94,310.84,299.94,296.87,318.41,461.83
BOLIVAR,TALAIGUA NUEVO,9.269516705,-74.58695233,POINT (-74.58695233 9.269516705),HOCOL S.A.,CICUCO BOQUETE,BOQUETE,61.47,99.14,70.78,53.45,74.53,72.78,73.38,66.4,48.42,38.28,79.06,72.97
BOLIVAR,TALAIGUA NUEVO,9.269516705,-74.58695233,POINT (-74.58695233 9.269516705),HOCOL S.A.,CICUCO BOQUETE,CICUCO,186.97,199.13,223.04,223.53,233.66,235.47,246.04,231.5,202.18,203.33,226.64,216.47
BOYACA,CORRALES,5.82454582,-72.84544845,POINT (-72.84544845 5.82454582),UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,CORRALES,191.97,181,199.94,188.83,179.77,115.23,140.26,112.65,95.83,95.58,93.7,108.45
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,NARE,ABARCO,2957.72,2842.31,2823.12,2976.47,2774.35,2553.43,2658.67,2733.8,2552.36,2494.27,2526.36,2576.47
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),ECOPETROL S.A.,PALAGUA,CAIPAL,597.45,596.64,539.32,538.24,588.62,564.45,572.32,545.69,573.5,566.05,532.11,540.8
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,NARE,GIRASOL,2474.1,2469.54,2671.81,2595.32,2687.45,2448.48,2306.84,2529.77,2408.17,2265,2305.89,2531.67
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,NARE,JAZMIN,3442.74,3346.02,3479.1,3270.65,3195.56,3012.57,2699.34,2843.56,2797.29,2855.2,2767.28,2840.57
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,NARE,MORICHE,9714.85,9979.42,9502.44,9416.49,9641,9642.54,9569.6,9001.41,8365.93,8582.1,8681.47,9041.93
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),ECOPETROL S.A.,PALAGUA,PALAGUA,6960.45,6883.85,6780.05,6592.66,6677.71,6615.53,6616.32,6460.7,6301.02,6267.6,6035.34,6134.36
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),TPL COLOMBIA LTD - SUCURSAL COLOMBIA,TURPIAL,TURPIAL,273.38,171.19,142.32,126.04,105.43,168.37,131.26,127.24,128.49,125.47,126.8,128.52
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,NARE,UNDERRIVER,1078.79,1083.33,1038.45,1180.45,1254.32,1111.64,893.87,1018.92,852.86,924.38,1029.69,1016.47
